timestamp,sensor_id,value
2026-08-07 12:44:11,fridge-door,OPEN
2026-08-07 12:44:14,front-door,CLOSE
2026-08-07 12:44:17,front-door,OPEN
2026-08-07 12:44:20,living-motion,ON
2026-08-07 12:44:23,living-motion,ON
2026-08-07 12:44:26,kitchen-motion,ON
2026-08-07 12:44:29,bed-mat,EMPTY
2026-08-07 12:44:32,kitchen-motion,ON
2026-08-07 12:44:35,living-motion,ON
2026-08-07 12:44:38,kitchen-motion,ON
2026-08-07 12:44:41,front-door,CLOSE
2026-08-07 12:44:44,bedroom-motion,ON
2026-08-07 12:44:47,bedroom-motion,ON
2026-08-07 12:44:50,bed-mat,EMPTY
2026-08-07 12:44:53,bed-mat,OCCUPIED
2026-08-07 12:44:56,living-motion,ON
2026-08-07 12:44:59,front-door,CLOSE
2026-08-07 12:45:02,living-motion,ON
2026-08-07 12:45:05,bedroom-motion,ON
2026-08-07 12:45:08,bathroom-motion,ON
2026-08-07 12:45:11,living-temp,18.9
2026-08-07 12:45:14,front-door,CLOSE
2026-08-07 12:45:17,kitchen-motion,ON
2026-08-07 12:45:20,bed-mat,OCCUPIED
2026-08-07 12:45:23,bathroom-motion,ON
2026-08-07 12:45:26,bed-mat,OCCUPIED
2026-08-07 12:45:29,living-motion,ON
2026-08-07 12:45:32,bathroom-motion,ON
2026-08-07 12:45:35,fridge-door,OPEN
2026-08-07 12:45:38,kitchen-motion,ON
2026-08-07 12:45:41,bed-mat,OCCUPIED
2026-08-07 12:45:44,bathroom-motion,ON
2026-08-07 12:45:47,living-temp,21.4
2026-08-07 12:45:50,bathroom-motion,ON
2026-08-07 12:45:53,bed-mat,EMPTY
2026-08-07 12:45:56,front-door,CLOSE
2026-08-07 12:45:59,kitchen-motion,ON
2026-08-07 12:46:02,living-temp,20.5
2026-08-07 12:46:05,kitchen-motion,ON
2026-08-07 12:46:08,fridge-door,OPEN
2026-08-07 12:46:11,fridge-door,CLOSE
2026-08-07 12:46:14,front-door,CLOSE
2026-08-07 12:46:17,bedroom-motion,ON
2026-08-07 12:46:20,bed-mat,EMPTY
2026-08-07 12:46:23,living-motion,ON
2026-08-07 12:46:26,front-door,CLOSE
2026-08-07 12:46:29,kitchen-motion,ON
2026-08-07 12:46:32,fridge-door,OPEN
2026-08-07 12:46:35,front-door,CLOSE
2026-08-07 12:46:38,bedroom-motion,ON
2026-08-07 12:46:41,bedroom-motion,ON
2026-08-07 12:46:44,living-motion,ON
2026-08-07 12:46:47,bed-mat,OCCUPIED
2026-08-07 12:46:50,living-motion,ON
2026-08-07 12:46:53,front-door,CLOSE
2026-08-07 12:46:56,kitchen-motion,ON
2026-08-07 12:46:59,kitchen-motion,ON
2026-08-07 12:47:02,bed-mat,EMPTY
2026-08-07 12:47:05,living-temp,19.2
2026-08-07 12:47:08,bathroom-motion,ON
2026-08-07 12:47:11,living-temp,20.5
2026-08-07 12:47:14,bathroom-motion,ON
2026-08-07 12:47:17,fridge-door,CLOSE
2026-08-07 12:47:47,living-motion,ON
2026-08-07 12:47:50,bedroom-motion,ON
2026-08-07 12:47:53,kitchen-motion,ON
2026-08-07 12:47:56,bathroom-motion,ON
2026-08-07 12:47:59,front-door,OPEN
2026-08-07 12:48:02,kitchen-motion,ON
2026-08-07 12:48:05,fridge-door,OPEN
2026-08-07 12:48:10,bedroom-motion,ON
2026-08-07 12:48:13,bed-mat,EMPTY
2026-08-07 12:48:16,living-motion,ON
2026-08-07 12:49:05,living-temp,20.9
2026-08-07 12:49:08,bathroom-motion,ON
2026-08-07 12:49:12,living-motion,ON
2026-08-07 12:49:15,fridge-door,CLOSE
2026-08-07 12:49:18,bedroom-motion,ON
2026-08-07 12:49:21,front-door,CLOSE
2026-08-07 12:49:24,living-temp,19.0
2026-08-07 12:49:28,fridge-door,CLOSE
2026-08-07 12:49:31,bathroom-motion,ON
2026-08-07 12:49:34,bathroom-motion,ON
2026-08-07 12:49:38,fridge-door,CLOSE
2026-08-07 12:49:41,bedroom-motion,ON
2026-08-07 12:49:52,front-door,OPEN
2026-08-07 12:49:55,fridge-door,OPEN
2026-08-07 12:49:58,front-door,CLOSE
2026-08-07 12:50:02,bedroom-motion,ON
2026-08-07 12:50:05,bedroom-motion,ON
2026-08-07 12:50:08,living-motion,ON
2026-08-07 12:50:11,living-temp,20.2
2026-08-07 12:50:14,kitchen-motion,ON
2026-08-07 12:50:18,bed-mat,EMPTY
2026-08-07 12:50:21,bedroom-motion,ON
2026-08-07 12:50:42,front-door,OPEN
2026-08-07 12:50:45,front-door,CLOSE
2026-08-07 12:50:48,bed-mat,EMPTY
2026-08-07 12:50:52,front-door,OPEN
2026-08-07 12:50:55,bed-mat,OCCUPIED
2026-08-07 12:50:58,kitchen-motion,ON
2026-08-07 12:51:01,fridge-door,OPEN
2026-08-07 12:51:05,front-door,CLOSE
2026-08-07 12:51:08,living-temp,18.8
2026-08-07 12:51:11,bathroom-motion,ON
2026-08-07 12:51:14,bedroom-motion,ON
2026-08-07 12:51:17,bathroom-motion,ON
2026-08-07 12:51:24,kitchen-motion,ON
2026-08-07 12:51:27,living-temp,21.3
2026-08-07 12:51:30,living-motion,ON
2026-08-07 12:51:33,kitchen-motion,ON
2026-08-07 12:51:36,kitchen-motion,ON
2026-08-07 12:51:40,fridge-door,OPEN
2026-08-07 12:51:43,fridge-door,OPEN
2026-08-07 12:51:46,front-door,CLOSE
2026-08-07 12:51:49,bathroom-motion,ON
2026-08-07 12:51:52,fridge-door,CLOSE
2026-08-07 12:51:55,kitchen-motion,ON
2026-08-07 12:51:58,bedroom-motion,ON
2026-08-07 12:52:01,bathroom-motion,ON
2026-08-07 12:52:04,fridge-door,OPEN
2026-08-07 12:52:07,fridge-door,CLOSE
2026-08-07 12:52:10,bed-mat,OCCUPIED
2026-08-07 12:52:13,bedroom-motion,ON
2026-08-07 12:52:16,bathroom-motion,ON
2026-08-07 12:52:19,kitchen-motion,ON
2026-08-07 12:52:22,living-motion,ON
2026-08-07 12:52:25,living-motion,ON
2026-08-07 12:52:28,front-door,OPEN
2026-08-07 12:52:31,living-temp,19.0
2026-08-07 12:52:34,kitchen-motion,ON
2026-08-07 12:52:37,kitchen-motion,ON
2026-08-07 12:52:41,bed-mat,OCCUPIED
2026-08-07 12:52:44,bed-mat,OCCUPIED
2026-08-07 12:52:47,fridge-door,OPEN
2026-08-07 12:52:50,front-door,OPEN
2026-08-07 12:52:53,bed-mat,OCCUPIED
2026-08-07 12:52:56,living-temp,21.3
2026-08-07 12:52:59,living-motion,ON
2026-08-07 12:53:02,bathroom-motion,ON
2026-08-07 12:53:05,bathroom-motion,ON
2026-08-07 12:53:08,bathroom-motion,ON
2026-08-07 12:53:14,front-door,CLOSE
2026-08-07 12:53:17,bathroom-motion,ON
2026-08-07 12:53:20,fridge-door,OPEN
2026-08-07 12:53:23,bedroom-motion,ON
2026-08-07 12:53:26,bathroom-motion,ON
2026-08-07 12:53:29,kitchen-motion,ON
2026-08-07 12:53:32,bathroom-motion,ON
2026-08-07 12:53:35,fridge-door,CLOSE
2026-08-07 12:53:38,living-temp,18.9
2026-08-07 12:53:41,bathroom-motion,ON
2026-08-07 12:53:44,living-temp,19.9
2026-08-07 12:53:47,bedroom-motion,ON
2026-08-07 12:53:50,bed-mat,EMPTY
2026-08-07 12:53:53,fridge-door,OPEN
2026-08-07 12:53:56,bed-mat,EMPTY
2026-08-07 12:53:59,kitchen-motion,ON
2026-08-07 12:54:03,living-temp,20.1
2026-08-07 12:54:06,kitchen-motion,ON
2026-08-07 12:54:09,living-motion,ON
2026-08-07 12:54:12,kitchen-motion,ON
2026-08-07 12:54:15,bedroom-motion,ON
2026-08-07 12:54:18,front-door,CLOSE
2026-08-07 12:54:22,living-temp,20.1
2026-08-07 12:54:25,fridge-door,OPEN
2026-08-07 12:54:28,bedroom-motion,ON
2026-08-07 12:54:31,living-temp,20.0
2026-08-07 12:54:34,front-door,CLOSE
2026-08-07 12:54:37,fridge-door,OPEN
2026-08-07 12:54:40,bedroom-motion,ON
2026-08-07 12:54:44,living-motion,ON
2026-08-07 12:54:47,kitchen-motion,ON
2026-08-07 12:54:50,kitchen-motion,ON
2026-08-07 12:54:53,bedroom-motion,ON
2026-08-07 12:54:56,living-temp,20.9
2026-08-07 12:54:59,living-motion,ON
2026-08-07 12:55:02,living-temp,20.0
2026-08-07 12:55:05,fridge-door,CLOSE
2026-08-07 12:55:08,kitchen-motion,ON
2026-08-07 12:55:11,front-door,OPEN
2026-08-07 12:55:14,bathroom-motion,ON
2026-08-07 12:55:17,living-temp,18.8
2026-08-07 12:55:20,bedroom-motion,ON
2026-08-07 12:55:23,bedroom-motion,ON
2026-08-07 12:55:26,bathroom-motion,ON
2026-08-07 12:55:31,kitchen-motion,ON
2026-08-07 12:55:34,bedroom-motion,ON
2026-08-07 12:55:37,bed-mat,EMPTY
2026-08-07 12:55:40,kitchen-motion,ON
2026-08-07 12:55:43,bedroom-motion,ON
2026-08-07 12:55:58,living-motion,ON
2026-08-07 12:56:01,living-temp,18.8
2026-08-07 12:56:04,fridge-door,OPEN
2026-08-07 12:56:07,living-temp,20.0
2026-08-07 12:56:10,fridge-door,OPEN
2026-08-07 12:56:13,kitchen-motion,ON
2026-08-07 12:56:16,living-motion,ON
2026-08-07 12:56:19,bedroom-motion,ON
2026-08-07 12:56:38,living-motion,ON
2026-08-07 12:56:41,living-temp,18.6
2026-08-07 12:56:44,bathroom-motion,ON
2026-08-07 12:56:47,front-door,CLOSE
2026-08-07 13:02:27,living-temp,19.4
2026-08-07 13:02:30,bathroom-motion,ON
