date,night_bathroom_trips,first_rise_hour,kitchen_visits,median_transit_seconds,hours_active,longest_inactive_minutes,door_openings,sleep_fragmentation,tier_a_event_count
2010-11-04,4,5.666666666666667,7,3.536444,23.664416990833335,148.59920858333334,28,1,94
2010-11-05,3,4.3,6,3.163947,23.653289458333337,127.81649828333335,42,1,156
2010-11-06,5,4.383333333333334,6,3.520415,23.852193207499997,237.19887865,22,1,108
2010-11-07,12,7.583333333333333,10,3.4017275,23.847187022777778,126.2034879,16,3,152
2010-11-08,3,5.666666666666667,8,2.945634,23.718438925277777,239.68710988333333,46,1,138
2010-11-09,7,5.516666666666667,7,2.747417,23.975074963333334,146.21754518333333,28,2,136
2010-11-10,5,6.683333333333334,7,3.7974425,23.974193201111113,479.48509433333334,22,1,96
2010-11-11,4,5.216666666666667,7,3.144265,23.784474571666667,306.44043380000005,22,1,132
2010-11-12,3,4.516666666666667,7,3.37676,19.95080580361111,117.20910578333334,28,1,170
2010-11-13,3,5.266666666666667,11,3.900786,23.679961726944445,165.90601503333335,20,1,102
2010-11-14,0,6.033333333333333,9,3.517682,23.88291002,222.38832731666668,8,0,66
2010-11-15,3,5.533333333333333,7,3.356245,23.536875548611114,176.04229545,42,1,110
2010-11-16,5,6.05,13,3.263105,23.641232056944443,53.89793556666667,44,3,166
2010-11-17,8,7.083333333333333,5,3.746299,23.959838037777775,557.2194754833333,10,2,70
2010-11-18,9,5.65,9,3.750347,23.943350249722222,194.61817225000001,16,2,92
2010-11-19,5,7.683333333333334,9,3.172806,23.8330356375,225.48438645,6,2,76
2010-11-20,13,8.3,10,3.0387645,23.6972927975,184.2497332833333,28,3,100
2010-11-21,4,6.283333333333333,9,3.7734045,23.692174769722225,163.62214605,60,1,150
2010-11-22,3,5.733333333333333,14,3.116466,20.31066289416667,51.696741933333335,4,1,102
2010-11-23,12,5.883333333333333,12,4.112817,23.914491344444443,296.28468605,22,2,106
2010-11-24,6,5.65,11,2.85621,23.997448411666667,115.11257521666667,16,4,74
2010-11-25,7,5.683333333333334,6,3.590229,23.916495284444444,348.91517895,42,3,146
2010-11-26,10,5.85,11,3.092666,23.909722779722223,158.17634386666666,26,2,104
2010-11-27,3,5.4,12,3.269477,23.796915058055557,110.78046396666667,16,1,78
2010-11-28,3,5.35,10,3.577867,23.401376539999998,97.66512658333333,8,1,80
2010-11-29,12,6.633333333333333,10,3.2194705,23.99618863611111,258.01916578333334,18,3,102
2010-11-30,11,6.05,8,2.9729225,23.17102027888889,322.03113593333336,23,2,123
2010-12-01,0,8.85,9,3.194503,23.903421019722224,234.08456571666665,13,0,117
2010-12-02,3,4.533333333333333,8,3.397128,23.936158533611113,234.98784813333333,18,2,90
2010-12-03,10,8.5,8,3.157,23.7686093675,264.82302043333334,24,2,112
2010-12-04,0,7.533333333333333,9,3.182451,23.00546945416667,264.6311281,40,1,144
2010-12-05,7,4.583333333333333,5,3.4206905,23.62681952583333,167.10422789999998,26,2,126
2010-12-06,4,4.3,10,2.930792,23.817825152777775,115.3100538,26,1,168
2010-12-07,6,5.25,6,3.160521,23.5310348525,175.79621423333336,52,2,172
